Model,Device,CPUs,GPUs,Actors,Setup (s),Pick (s),Total (s),Setup OH (%)
PhaseNet,GPU,20,1,22,6.7,4.27,10.97,61.0
PhaseNetLight,CPU,20,0,46,7.04,4.28,11.47,61.4
PhaseNet,CPU,20,0,46,7.21,4.16,11.48,62.8
PhaseNetLight,GPU,20,1,22,6.96,4.56,11.53,60.4
EQTransformer,CPU,20,0,46,6.92,4.7,11.63,59.5
EQT-NC,GPU,20,1,22,6.91,5.19,12.11,57.1
EQCCT,GPU,14,1,12,4.64,7.82,12.47,37.2
EQTransformer,GPU,20,1,22,7.12,6.92,14.05,50.7
EQCCT,GPU,17,2,24,7.95,9.33,17.29,46.0
PhaseNet,GPU,20,2,44,10.88,6.6,17.49,62.2
EQT-NC,CPU,20,0,46,12.88,4.7,17.74,72.6
PhaseNetLight,GPU,20,2,44,10.83,7.02,17.86,60.6
EQT-NC,GPU,20,2,44,10.75,7.3,18.06,59.5
EQTransformer,GPU,20,2,44,10.76,8.16,18.93,56.9
EQCCT,CPU,14,0,46,12.73,12.23,25.01,50.9
