Model,Device,CPUs,GPUs,Act.,Req. RAM,Tree RAM,Req. VRAM,Tree VRAM,Peak RAM
PhaseNet,GPU,20,1,22,58564,32813,36344,11580,782
PhaseNetLight,CPU,20,0,46,105524,49017,0,0,273
PhaseNet,CPU,20,0,46,105524,51694,0,0,274
PhaseNetLight,GPU,20,1,22,58366,39068,36344,11580,280
EQTransformer,CPU,20,0,46,106398,51012,0,0,258
EQT-NC,GPU,20,1,22,61798,43578,37004,12273,244
EQCCT,GPU,14,1,12,49236,15363,34608,40316,456
EQTransformer,GPU,20,1,22,61446,42982,36960,12226,275
EQCCT,GPU,17,2,24,98472,18506,69216,43675,958
PhaseNet,GPU,20,2,44,117128,59490,72688,526,1084
EQT-NC,CPU,20,0,46,106536,56537,0,0,200
PhaseNetLight,GPU,20,2,44,116732,72936,72688,23161,383
EQT-NC,GPU,20,2,44,123596,82457,74008,24545,378
EQTransformer,GPU,20,2,44,122892,80613,73920,24453,398
EQCCT,CPU,14,0,46,115920,48701,0,0,202
